step ,elapsed_tokens ,elapsed_examples ,training_loss         ,training_sequence_accuracy ,training_token_accuracy ,validation_loss       ,validation_sequence_accuracy ,validation_token_accuracy ,classification/accuracy ,classification/weighted_f1_score
 177 ,        442248 ,            1416 ,0.017402336746907904  ,                     1.0   ,                  1.0   ,0.011267203556995321  ,                       0.75  ,                    0.75  ,                        ,
 178 ,        445136 ,            1424 ,0.011654036281563454  ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
 179 ,        448152 ,            1432 ,0.017437712582102995  ,                     0.75  ,                  0.75  ,                      ,                             ,                          ,                        ,
 180 ,        451168 ,            1440 ,0.008943466799387206  ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
 181 ,        454824 ,            1448 ,0.013705647507734576  ,                     0.625 ,                  0.625 ,                      ,                             ,                          ,                        ,
 182 ,        457136 ,            1456 ,0.019960953761826248  ,                     0.75  ,                  0.75  ,                      ,                             ,                          ,                        ,
 183 ,        459640 ,            1464 ,0.013789923058653727  ,                     0.75  ,                  0.75  ,                      ,                             ,                          ,                        ,
 184 ,        462848 ,            1472 ,0.01692512719246199   ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
 185 ,        464904 ,            1480 ,0.01810075231857449   ,                     0.875 ,                  0.875 ,0.016374387030649303  ,                       1.0   ,                    1.0   ,                        ,
 186 ,        467088 ,            1488 ,0.011848783789208627  ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
 187 ,        470232 ,            1496 ,0.01475286706501881   ,                     0.75  ,                  0.75  ,                      ,                             ,                          ,                        ,
 188 ,        471904 ,            1504 ,0.017706576135434096  ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
 189 ,        474728 ,            1512 ,0.016544447637174785  ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
 190 ,        476464 ,            1520 ,0.01738812329688198   ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
 191 ,        478648 ,            1528 ,0.01113832910530494   ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
 192 ,        480704 ,            1536 ,0.013218007413161032  ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
